motif_count_g1,motif_count_g2,motif_count_other_g1,motif_count_other_g2,motif,oddsratio,pvalue,log2FC,qvalues,-log10-qvalues
77,2504,444999,20036383,GMEB2/1,1.3845756524189914,0.006778244768072641,0.4694438838875016,0.008728150797244224,2.0590777590002247
219,14347,444857,20024540,GMEB2/2,0.6871082073498467,6.266755289340056e-09,-0.5413907790840561,1.0519196378535094e-08,7.978017437149845
50,1991,445026,20036896,GMEB2/3,1.1306906570211441,0.4027613205883476,0.1772042797916205,0.4368411246381309,0.3596764834839605
557,43557,444519,19995330,GRHL,0.5752219931488475,8.979528839097834e-46,-0.7978092577746266,3.566517088205056e-45,44.44775569080904
882,60376,444194,19978511,HAND1,0.6570443381558772,5.293226260669028e-40,-0.6059373662282037,1.842826920381069e-39,38.73451545211311
77,6378,444999,20032509,HD/1,0.5434786923120909,5.5715185091176774e-09,-0.879704620993157,9.408192931563982e-09,8.02649378520347
172,12711,444904,20026176,HD/10,0.6090885654160433,3.1533409032184585e-12,-0.7152760743147568,5.850277202023719e-12,11.232823555378147
117,7878,444959,20031009,HD/11,0.6685789762051499,4.808180748418537e-06,-0.5808301054741508,7.098989377246216e-06,5.1488034736929755
613,50944,444463,19987943,HD/12,0.5411278943808477,7.898566193419274e-63,-0.8859584827526148,4.049810302807701e-62,61.392565319099724
32,5081,445044,20033806,HD/13,0.2835053749060123,1.0169952822651961e-18,-1.818552007773677,2.312844109667623e-18,17.63585363856216
132,18240,444944,20020647,HD/14,0.32562808170064217,3.596047932772621e-55,-1.6187029739585705,1.662435273839146e-54,53.77925525475371
83,9259,444993,20029628,HD/15,0.4034908702140453,9.59505685149227e-22,-1.3093920648686581,2.3528748105398436e-21,20.628401179725007
172,19150,444904,20019737,HD/16,0.4041585084051811,1.896142763015144e-43,-1.3070068750762667,7.035687620661455e-43,42.15269345114105
90,9460,444986,20029427,HD/17,0.42822651122862604,2.934618063379896e-20,-1.223553980074497,6.896352448942756e-20,19.161380551313336
550,51995,444526,19986892,HD/18,0.4756080591262662,4.178815596282618e-86,-1.0721549332878355,2.740525577096973e-85,84.56216614033863
70,5899,445006,20032988,HD/19,0.5341946179092224,9.069555903196385e-09,-0.9045626542097152,1.5044792733537534e-08,7.822613790994754
817,102270,444259,19936617,HD/2,0.3584998940470569,1.6475074612997626e-267,-1.4799554023417951,3.871642534054442e-266,265.412104747607
340,60293,444736,19978594,HD/20,0.2533230213319803,2.5286483552130446e-230,-1.9809499035365434,4.753858907800524e-229,228.32295371206365
52,7716,445024,20031171,HD/21,0.3033430367143391,5.403813415665908e-26,-1.7209779004210752,1.4241826011381179e-25,24.846434324194547
682,72949,444394,19965938,HD/22,0.42003604762634095,4.4703149624556424e-151,-1.251414949138536,5.042515277649965e-150,149.2973527773018
106,6726,444970,20032161,HD/23,0.7094896633972076,0.0002555376923582805,-0.4951464291698496,0.00035674073883680736,3.4476472925630772
102,6913,444974,20031974,HD/24,0.6642364854158233,1.6321286081445536e-05,-0.590231125008491,2.3603090640859697e-05,4.627031125826987
22,1823,445054,20037064,HD/25,0.5433221227925177,0.0023327458099189555,-0.8801203035503764,0.0030455292518386363,2.5163372248110263
41,2499,445035,20036388,HD/3,0.7386570820313025,0.05623456140376762,-0.4370233392739746,0.06748147368452113,1.1708154417013603
211,24374,444865,20014513,HD/4,0.38946858878882024,5.365190482405557e-58,-1.3604211173731553,2.608592613859254e-57,56.583593739745126
373,22613,444703,20016274,HD/5,0.7424442142639531,2.5403998009730125e-09,-0.42964546604909737,4.34177420529933e-09,8.3623327658522
220,12131,444856,20026756,HD/6,0.8164267618792532,0.0024672116099338955,-0.2926046212407806,0.0032062381290385187,2.494004225498139
192,12851,444884,20026036,HD/7,0.6725313144329128,7.535253424490278e-09,-0.5723266508236257,1.2573618140273716e-08,7.900539733272472
274,24858,444802,20014029,HD/8,0.49596630520883533,1.508354866040643e-38,-1.0116859842738992,4.946000839807689e-38,37.30574581423355
67,5040,445009,20033847,HD/9,0.5984664716251324,7.571775624404455e-06,-0.7406576707346174,1.1063423451202363e-05,4.956110464721378
1517,74196,443559,19964691,HEN1,0.9202721630355849,0.0012731154287722202,-0.11986750524515084,0.001685533102881531,2.773262713770354
1621,82774,443455,19956113,HIC/1,0.8812831582069361,3.1935853397941493e-07,-0.18232246018415432,5.003283699010834e-07,6.30074487080803
300,31418,444776,20007469,HIC/2,0.42953002495875553,1.345319705068898e-63,-1.2191691128947546,7.025558459804245e-63,62.153319148095974
333,19236,444743,20019651,HIF,0.7792500629826057,3.1003792680562817e-06,-0.3598417284314073,4.700575019311137e-06,5.327849011758187
541,30501,444535,20008386,HINFP1/1,0.7983425624004618,8.312031880377747e-08,-0.3249201666982181,1.347122408199152e-07,6.87059293969641
131,5144,444945,20033743,HINFP1/2,1.1466374000267425,0.1303649304551185,0.1974092414953541,0.14883769387993284,0.8272870676412233
160,6573,444916,20032314,HINFP1/3,1.0959972017384672,0.25873487055358685,0.132244114864872,0.28501263084418554,0.5451358930287538
56,8736,445020,20030151,HLTF,0.2885227716645406,7.991790830302109e-31,-1.7932429067929418,2.372300014889679e-30,29.624830388422527
33,2077,445043,20036810,HOMEZ,0.7153260628867235,0.06124026947105171,-0.4833270878474667,0.07279552953380654,1.1378952904453845
347,27969,444729,20010918,HSF,0.5582440440277071,1.6705145296445258e-32,-0.8410321410429785,5.065431154405982e-32,31.295383582878202
72,4189,445004,20034698,HSFY2,0.7738219090877881,0.030974251688528576,-0.36992651874924115,0.03831025866739061,1.416684915690085
