motif_count_g1,motif_count_g2,motif_count_other_g1,motif_count_other_g2,motif,oddsratio,pvalue,qvalues,-log10-qvalues,log2FC
69,5040,480912,20033847,HD/9,0.5703182814260048,5.379334625695282e-07,7.900897731489946e-07,6.102323559635935,-0.8101608161690129
1572,74196,479409,19964691,HEN1,0.8823247448020084,6.32690942248942e-07,9.244499777937908e-07,6.0341165836458295,-0.18061834898401682
1686,82774,479295,19956113,HIC/1,0.8480797306243003,7.340199836018995e-12,1.3018467633694066e-11,10.885440132311324,-0.2377281914560896
305,31418,480676,20007469,HIC/2,0.40407410359730817,1.209492730779849e-75,5.983806141752938e-75,74.22302248481785,-1.307308200205641
348,19236,480633,20019651,HIF,0.7535418756658138,5.3299528757507536e-08,8.124576816009257e-08,7.090199250811655,-0.40824040770033393
567,30501,480414,20008386,HINFP1/1,0.7742217770928844,4.00180326772951e-10,6.485681158044378e-10,9.188044405448053,-0.3691812069651581
143,5144,480838,20033743,HINFP1/2,1.1582395582907206,0.0840358993467819,0.09517318721201806,1.0214853865526303,0.21193367631023144
166,6573,480815,20032314,HINFP1/3,1.052198229925225,0.5192170720196452,0.5443093468756132,0.26415420791763405,0.07340652819403816
57,8736,480924,20030151,HLTF,0.271750281720737,5.062464986326672e-35,1.4420354809536582e-34,33.84102405376859,-1.8796465640068127
35,2077,480946,20036810,HOMEZ,0.7020431573169346,0.036632090036478625,0.04304270579286238,1.3661004354370891,-0.5103683735693341
355,27969,480626,20010918,HSF,0.5284588382640247,3.1123464972147538e-40,9.337039491644262e-40,39.02979080431118,-0.920136990630423
75,4189,480906,20034698,HSFY2,0.7458878069720271,0.009794423886492081,0.012061255615680205,1.918607478383578,-0.4229694516690651
1407,77401,479574,19961486,INSM1,0.756632103716949,2.9330167676132385e-27,7.38491721845476e-27,26.131654368567308,-0.4023361040001568
913,62058,480068,19976829,IRF/1,0.6122048932260298,3.5557758569815303e-57,1.432469702383988e-56,55.84391455485907,-0.707913518815802
17968,384788,463013,19654099,IRF/2,1.9821575622221244,1e-300,0.0,400.0,0.9870716472880827
190,10766,480791,20028121,IRF/3,0.7351620879706325,1.2757330424697967e-05,1.780973851368726e-05,4.749342456892533,-0.4438657255768556
172,7796,480809,20031091,IRF/4,0.9191547417834847,0.2995756812106488,0.32367947165288496,0.4898848434784357,-0.12162033194685118
407,22745,480574,20016142,KAISO,0.7452956226743739,8.516502865340854e-10,1.3723736045863548e-09,8.862527643496025,-0.42411530854682167
14037,436902,466944,19601985,KLF/SP/1,1.3487315610648194,1.069306866134861e-237,1.5077226812501539e-236,235.82167853186036,0.4316032363085219
78258,2158834,402723,17880053,KLF/SP/2,1.6094291529365925,1e-300,0.0,400.0,0.6865490707847343
599,31496,480382,20007391,KLF/SP/3,0.7920911376746002,5.281179799667375e-09,8.228136483459666e-09,8.084698513097658,-0.3362616591447829
985,50233,479996,19988654,LEF1,0.8165692981084068,9.133114067126327e-11,1.5239870810234462e-10,9.817018714534482,-0.29235276966990703
44,6413,480937,20032474,LIN54,0.28578394981400496,5.959264572529314e-25,1.4241632283502258e-24,23.846440231830336,-1.8070032007557952
1852,104429,479129,19934458,MAF,0.7378563805922541,4.995785711055666e-42,1.5313169244757584e-41,40.814934917527054,-0.4385880633863206
672,42317,480309,19996570,MBD2,0.661133532278458,6.110690318419561e-30,1.6411568283755394e-29,28.784849915934274,-0.5969864057568608
701,45929,480280,19992958,MECP2,0.6353507982652669,1.2220655378407271e-37,3.627605070221948e-37,36.440379999770514,-0.6543747231977867
262,20153,480719,20018734,MEF2,0.5413858589203575,9.532767885637943e-28,2.443855039772636e-27,26.611924558369722,-0.8852708902526844
913,55738,480068,19983149,MFZ1,0.681837000389864,3.6321855254838763e-34,1.0141349685014387e-33,32.99390424206905,-0.5525012043702229
864,58411,480117,19980476,MIES,0.6155705689416809,5.739032482753346e-53,2.157876213515258e-52,51.66597347222456,-0.7000038382974215
494,22506,480487,20016381,MTF1,0.9143922813844534,0.04968467239925864,0.057897014944590645,1.2373438270586021,-0.1291148694357703
70,3059,480911,20035828,MYB/1,0.9533692649791521,0.7674572656401448,0.775709494302942,0.11030089297228574,-0.0688929787905514
90,4013,480891,20034874,MYB/2,0.9343580163224332,0.5701272622616765,0.5954662516955288,0.2251428473092222,-0.09795264409001958
